X1,country,date,sm_plf,pred_arr,sd_arr,showup
8435,CZ,2020-09-12,91.0335394394129,242.396928162228,106.115070573212,0.628436662796736
8471,BG,2020-09-12,21.0900663695615,29.6107985274395,116.487082083296,0.689861984051076
8487,MT,2020-09-12,318.3304202436,1106.38568656311,56.4959748594791,0.334581522778559
8491,ES,2020-09-12,147.272988505747,261.004587754858,121.730850357118,0.72091672695121
8524,BE,2020-09-13,611.849033277878,727.05909873678,127.010729051942,0.752185323664409
8525,SE,2020-09-13,333.867986510237,636.273095696726,32.5708510802209,0.192891705643089
8546,CZ,2020-09-13,88.4959854121359,249.500311042242,103.258953127589,0.611522110449113
8584,BG,2020-09-13,22.4518725486456,30.8030981472674,121.177516336666,0.717639761828854
8601,MT,2020-09-13,251.558647928551,868.52675874529,45.3192597686154,0.268390570873321
8605,ES,2020-09-13,148.985563678746,263.11970054617,122.71732527276,0.726758847213393
8636,BE,2020-09-14,735.871934576762,871.418138080786,154.465077226842,0.914775979761558
8637,SE,2020-09-14,243.843576220711,461.768293532141,23.642074490793,0.140013537326304
8662,CZ,2020-09-14,82.1208372717976,226.34671937119,96.6792448106509,0.572555638349186
8676,IL,2020-09-14,284.648691389108,284.648691389108,93.6474135444165,0.554600470314872
8702,BG,2020-09-14,23.0908491813095,31.8250692499769,125.197888553841,0.741449285638378
8715,MT,2020-09-14,170.292897334223,591.828898646467,30.8813140484927,0.182885897720092
8719,ES,2020-09-14,147.43780259515,257.18696502501,124.300944737927,0.736137388135558
8744,BE,2020-09-15,756.541130382103,927.008869661881,164.31893070031,0.973132655765293
8746,SE,2020-09-15,254.791167141088,438.984332698807,22.2916703841121,0.132016148777766
8766,CZ,2020-09-15,94.3526793124135,239.762305463102,102.409430499498,0.606491051594945
8780,IL,2020-09-15,339.354976264976,339.354976264976,94.2157174779733,0.557966090537612
8801,BG,2020-09-15,25.8841976737681,31.4864502007588,123.865781790672,0.733560257961039
8813,MT,2020-09-15,156.836743110226,561.429636014551,29.295096852398,0.173491972467064
8817,ES,2020-09-15,138.070735661242,252.704578756243,121.517610126037,0.719653871652041
8842,BE,2020-09-16,704.218436324557,880.823783936758,153.575415027523,0.909507205585221
8844,SE,2020-09-16,255.017152966368,412.046266969892,20.923752585491,0.123915040314076
8864,CZ,2020-09-16,103.17883895067,248.067495145239,105.956817749947,0.627499454956289
8881,IL,2020-09-16,374.278555384803,374.278555384803,112.95628674396,0.668951841617164
8901,BG,2020-09-16,28.6287618415543,43.3092978098805,124.40769832225,0.73676960621647
8915,MT,2020-09-16,126.15552648727,501.013499250547,25.9374672251446,0.153607355263678
8919,ES,2020-09-16,155.078646964294,289.974995472294,135.678254490975,0.803516305514475
8949,BE,2020-09-17,667.67236232303,819.741592825663,149.920531193727,0.887862183940199
8950,SE,2020-09-17,245.77484568028,390.468297042699,20.24413032812,0.119890168624527
8970,CZ,2020-09-17,101.226419456582,238.225527434826,104.954875457578,0.621565733505326
8982,IL,2020-09-17,364.38638675661,364.38638675661,112.425178349287,0.665806501512991
9004,BG,2020-09-17,28.7910993781949,44.7053866472944,128.418019608882,0.76051960621647
9021,MT,2020-09-17,115.319625534041,472.648711967917,24.7200904363571,0.146397783594176
9026,ES,2020-09-17,161.510685670025,275.013760855296,133.126864430076,0.788406415404585
9056,BE,2020-09-18,639.408366355786,800.707521218394,146.439436479105,0.86724637947888
9058,SE,2020-09-18,249.033457356865,396.08696036923,20.5354342662722,0.121615334275014
